 -,-,-
-0.679,-0.770,1.167
-0.650,-0.717,1.102
-0.622,-0.642,1.035
-0.475,-0.561,0.979
-0.220,-0.599,0.798
-0.013,-0.684,0.654
0.153,-0.654,0.653
0.444,-0.781,0.269
0.858,-0.931,0.036
1.729,-1.499,-0.761
2.805,-2.194,-2.036
2.153,-1.954,-1.773
-0.174,-0.942,0.281
-1.655,2.540,2.440
-4.000,4.000,-2.145
2.166,-0.149,-1.422
0.092,-0.281,1.197
0.201,-0.969,0.920
1.478,-0.916,0.695
-0.145,-0.790,0.575
0.103,-0.865,0.597
0.049,-0.695,0.503
0.178,-0.605,0.450
0.139,-0.573,0.394
-0.037,-0.480,0.372
-0.094,-0.639,0.338
0.063,-0.416,0.392
0.014,-0.744,0.469
0.144,-0.656,0.558
-0.176,-0.914,0.522
0.557,-1.044,0.676
0.566,-0.896,0.733
0.282,-0.755,0.924
-0.021,-0.669,0.934
0.000,-0.862,1.002
-0.251,-0.859,0.928
-0.215,-0.756,1.008
-0.099,-0.858,1.019
-0.151,-0.729,0.967
-0.215,-0.755,0.933
-0.506,-0.629,0.932
-0.198,-0.533,0.994
-0.335,-0.362,0.966
-0.251,-0.440,0.885
-0.305,-0.437,0.703
-0.715,-0.379,0.760
-0.660,-0.306,0.823
-0.441,-0.313,0.859
-0.690,-0.223,0.971
-0.530,-0.223,0.935
-0.559,-0.182,0.977
-0.453,-0.156,0.973
-0.408,-0.170,0.959
-0.476,-0.193,0.921
-0.519,-0.222,0.872
-0.508,-0.205,0.810
-0.478,-0.223,0.781
-0.521,-0.227,0.797
-0.600,-0.247,0.787
-0.562,-0.273,0.771
-0.597,-0.271,0.793
-0.609,-0.279,0.797
-0.621,-0.266,0.820
-0.599,-0.258,0.823
-0.584,-0.276,0.798
-0.593,-0.284,0.787
-0.624,-0.274,0.786
-0.618,-0.250,0.791
-0.629,-0.244,0.797
-0.620,-0.218,0.792
-0.615,-0.204,0.804
-0.520,-0.187,0.789
-0.204,-0.149,0.872
-0.685,-0.053,0.502
-1.300,-0.157,0.314
-1.296,-0.162,0.343
-1.078,-0.168,0.393
-0.809,-0.136,0.468
-0.681,-0.064,0.673
-0.651,-0.063,0.732
-0.725,-0.124,0.667
-0.841,-0.130,0.645
-0.747,-0.147,0.629
-0.747,-0.132,0.638
-0.791,-0.137,0.626
-0.776,-0.147,0.615
-0.799,-0.142,0.621
-0.815,-0.147,0.614
-0.821,-0.178,0.603
-0.865,-0.189,0.577
-0.799,-0.161,0.492
-0.768,-0.165,0.501
-0.892,-0.196,0.552
-1.212,-0.051,0.661
-0.949,0.095,0.776
-0.434,-0.034,0.837
-0.479,-0.153,0.774
-0.641,-0.166,0.766
-0.659,-0.114,0.767
-0.643,-0.097,0.726

 -,-,-
-0.301,-0.489,0.816
-0.329,-0.526,0.801
-0.326,-0.541,0.691
-0.499,-0.572,0.685
0.041,-0.350,0.907
-0.635,-0.433,0.863
-0.589,-0.632,0.711
-0.479,-0.615,0.588
-0.423,-0.527,0.719
-0.329,-0.498,0.766
-0.249,-0.515,0.738
-0.430,-0.526,0.808
-0.319,-0.518,0.854
-0.298,-0.517,0.876
-0.271,-0.504,0.853
-0.304,-0.467,0.898
-0.295,-0.482,0.870
-0.352,-0.470,0.841
-0.415,-0.524,0.839
-0.371,-0.555,0.853
